surname,surname_latin,n
Миллер,Miller,1242
Шмидт,Šmidt,726
Майер,Majer,463
Дик,Dik,349
Шульц,Šulʹc,324
Гофман,Gofman,318
Шнайдер,Šnajder,266
Вайс,Vajs,257
Вагнер,Vagner,213
Браун,Braun,210
Кох,Koh,206
Вальтер,Valʹter,202
Беккер,Bekker,183
Вебер,Veber,174
Герман,German,172
Нейман,Nejman,171
Шефер,Šefer,150
Классен,Klassen,149
Гольцман,Golʹcman,148
Бауэр,Bauér,148
Винтер,Vinter,146
Кригер,Kriger,145
Фризен,Frizen,145
Гильдерман,Gilʹderman,139
Кайзер,Kajzer,122
Вибе,Vibe,120
Граф,Graf,119
Пеннер,Penner,117
Кельн,Kelʹn,116
Вольф,Volʹf,112
Шнейдер,Šnejder,108
Кун,Kun,107
Фаст,Fast,107
Гебель,Gebelʹ,106
Кин,Kin,105
Фишер,Fišer,105
Гаас,Gaas,100
Крафт,Kraft,100
Лохман,Lohman,100
Клейн,Klejn,98
Келлер,Keller,97
Нейфельд,Nejfelʹd,96
Шварц,Švarc,94
Янцен,Âncen,93
Кляйн,Klâjn,92
Франк,Frank,85
Гросс,Gross,84
Лейман,Lejman,84
Винс,Vins,83
Вейнбендер,Vejnbender,83
Габеркорн,Gaberkorn,82
Вайнбендер,Vajnbender,82
Вайсбек,Vajsbek,80
Ланг,Lang,80
Визнер,Vizner,79
Вернер,Verner,78
Краус,Kraus,78
Финк,Fink,77
Зоммер,Zommer,75
Кнауб,Knaub,75
Диль,Dilʹ,73
Готфрид,Gotfrid,73
Линдт,Lindt,73
Тиссен,Tissen,72
Варкентин,Varkentin,71
Моор,Moor,71
Ваймер,Vajmer,70
Киммель,Kimmelʹ,70
Мусс,Muss,69
Петерс,Peters,67
Фогель,Fogelʹ,67
Брауэр,Brauér,65
Гельвер,Gelʹver,65
Герт,Gert,64
Меркель,Merkelʹ,63
Геринг,Gering,62
Менг,Meng,62
Гизбрехт,Gizbreht,60
Гердт,Gerdt,60
Гамм,Gamm,60
Воллерт,Vollert,58
Далингер,Dalinger,58
Фукс,Fuks,58
Гербер,Gerber,57
Зиберт,Zibert,57
Реймер,Rejmer,57
Гельфенбайн,Gelʹfenbajn,56
Кербс,Kerbs,56
Гиберт,Gibert,55
Мозер,Mozer,55
Витман,Vitman,54
Тевс,Tevs,54
Винк,Vink,53
Лик,Lik,53
Дерксен,Derksen,52
Краузе,Krauze,51
Манвейлер,Manvejler,51
Гардер,Garder,50
Ваккер,Vakker,50
Камерцель,Kamercelʹ,50
Герцен,Gercen,49
Левен,Leven,49
