date_ym,ETHNIC_BEL,ETHNIC_UKR,ETHNIC_GER,ETHNIC_POL,ETHNIC_ARMENIAN,ETHNIC_GREEK,ETHNIC_JEWISH,ETHNIC_KABARDIN,ETHNIC_KALMYK,ETHNIC_CHINESE,ETHNIC_KOREAN,ETHNIC_LATVIAN,ETHNIC_LITHUANIAN,ETHNIC_OSSETIAN,ETHNIC_ESTONIAN,ETHNIC_TATAR,ETHNIC_CHECHEN,n
1916-9-1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
1917-10-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1917-11-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1917-11-1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1917-12-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53
1918-1-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,131
1918-1-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
1918-10-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1110
1918-10-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,8
1918-10-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2
1918-10-1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
1918-10-1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,6
1918-10-1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2
1918-10-1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1918-10-1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
1918-11-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,701
1918-11-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,6
1918-11-1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
1918-11-1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2
1918-11-1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2
1918-11-1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1918-11-1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
1918-11-1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1918-12-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,491
1918-12-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,16
1918-12-1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1918-2-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10
