YEAR,ETHNIC_BEL,ETHNIC_UKR,ETHNIC_GER,ETHNIC_POL,ETHNIC_ARMENIAN,ETHNIC_GREEK,ETHNIC_JEWISH,ETHNIC_KABARDIN,ETHNIC_KALMYK,ETHNIC_CHINESE,ETHNIC_KOREAN,ETHNIC_LATVIAN,ETHNIC_LITHUANIAN,ETHNIC_OSSETIAN,ETHNIC_ESTONIAN,ETHNIC_TATAR,ETHNIC_CHECHEN,n
1914,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1916,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
1917,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,160
1917,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1918,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4277
1918,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2
1918,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,45
1918,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,4
1918,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
1918,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2
1918,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,4
1918,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,12
1918,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,8
1918,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1
1918,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
1918,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
1918,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6
1919,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10172
1919,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2
1919,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,174
1919,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,4
1919,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3
1919,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,10
1919,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,5
1919,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,34
1919,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
